Date,Calumet,Rainbow,South Shore,63rd Street,Montrose
05/26/2015,435,398,364,388,97
05/27/2015,411,145,1084,264,690
05/28/2015,132,271,624,86,119
06/01/2015,765,156,59,639,77
06/02/2015,278,87,282,174,65
06/03/2015,1355,288,170,261,30
06/04/2015,1468,224,34,44,28
06/09/2015,911,165,162,66,87
06/10/2015,224,1096,153,14,103
06/11/2015,3854,10386,609,1195,321
06/12/2015,861,104,221,73,82
06/16/2015,721,159,77,18,519
06/17/2015,115,304,89,41,67
06/18/2015,274,1298,1482,135,461
06/19/2015,448,58,153,26,48
06/23/2015,348,49,95,33,333
06/24/2015,158,366,96,211,210
06/25/2015,291,29,381,1878,3424
06/26/2015,872,72,471,28,80
06/30/2015,21,216,375,423,45
07/01/2015,582,55,85,22,296
07/02/2015,168,29,38,49,54
07/07/2015,2566,606,3436,1201,5696
07/08/2015,836,401,123,189,1253
07/09/2015,326,115,247,63,2211
07/10/2015,247,68,160,203,144
07/14/2015,83,60,177,20,296
07/15/2015,140,629,202,96,425
07/16/2015,246,324,163,84,175
07/17/2015,29,147,143,146,227
07/21/2015,454,229,461,27,165
07/22/2015,81,278,46,23,145
07/23/2015,29,98,43,20,29
07/24/2015,140,252,52,245,45
07/28/2015,490,279,156,490,484
07/29/2015,64,508,84,105,27
07/30/2015,100,100,625,39,116
07/31/2015,335,176,532,49,60
08/04/2015,39,115,879,46,1580
08/05/2015,43,68,131,34,308
08/06/2015,279,3363,173,49,187
08/07/2015,353,398,165,79,242
08/11/2015,337,67,393,50,104
08/12/2015,1425,1384,585,142,232
08/13/2015,52,38,138,59,64
08/14/2015,161,23,212,382,963
08/18/2015,28,18,8,152,383
08/19/2015,85,26,11,174,91
08/20/2015,29,275,49,1002,79
08/21/2015,70,229,50,1757,648
08/25/2015,234,809,139,149,293
08/26/2015,448,46,166,130,53
08/27/2015,64,30,22,41,62
08/28/2015,165,141,38,29,92
