Old,New
Montrose,Montrose
Calumet,Calumet
Jackson/63rd,63rd
Rainbow,Rainbow
Ohio,Ohio
South Shore,South Shore
57th,57th
31st,31st
12th,12th
Foster,Foster
Oak,Oak
North Ave,North Ave
Rogers,Rogers
Juneway,Juneway
Howard,Howard
Jarvis/Fargo,Jarvis
Albion,Albion
Pratt,Pratt
North Shore,Pratt
Thorndale,NA
Hollywood/Osterman,Ostermann
Oakwood,39th
Leone,Loyola
Hartigan,Albion
Montrose Dog,NA
49th,NA
Hollywood,Ostermann
Leon/Loyola,Loyola
Jarvis,Jarvis
Loyola,Loyola
Humbolt,NA
Humboldt,NA
Hollywood/Ostermann,Ostermann
39th,39th
Hollywood/Oster.,Ostermann
Leon,Loyola
Fargo,Jarvis
Calumet Inside barrier,Calumet
Leone/Loyola,Loyola
Ping Tom Park,NA
Clark,NA
Clark Park,NA
31st(Burroughs),31st
Hollywood/Ost.,Ostermann
Jarvis/ Fargo,Jarvis
Humboltd,NA
Hollywood/Thorndale*,Ostermann
39th south,39th
"12th St 1, 2",12th
39th north,39th
Loyola2,Loyola
Calumet inside barrier,Calumet
Wilson Launch,NA
Hyde Park,NA
Humbodt,NA
Loyola1,Loyola
Ping Tom Pak,NA
Jackson/63rd (2nd),63rd
Front 1 & 2*,NA
Jackson/63rd/2nd,63rd
