begin_date,end_date,days_lock_open,O'Brien,CRCW,Wilmette,total_volume
6/15/2015,6/16/2015,2,0,997.5,167.2,1164.7
6/30/2014,7/1/2014,2,0,632,163,795
4/18/2013,4/19/2013,2,3185.6,6104.7,1429.2,10719.5
7/24/2011,7/24/2011,1,0,1716.2,504.3,2220.5
5/29/2011,5/29/2011,1,0,0,107,107
7/24/2010,7/24/2010,1,0,5784.6,750.3,6534.9
6/19/2009,6/19/2009,1,0,0,191.6,191.6
3/8/2009,3/8/2009,1,0,0,143.1,143.1
2/26/2009,2/27/2009,2,0,0,78.9,78.9
12/27/2008,12/28/2008,2,0,0,460.8,460.8
9/13/2008,9/16/2008,4,2669.2,5438.2,2941.7,11049.1
8/23/2007,8/24/2007,2,0,0,224,224
8/22/2002,8/22/2002,1,0,1296.4,455.4,1751.8
10/13/2001,10/13/2001,1,0,0,90.7,90.7
8/31/2001,8/31/2001,1,0,0,75.3,75.3
8/2/2001,8/2/2001,1,0,883.1,139.9,1023
6/13/1999,6/13/1999,1,0,0,9.7,9.7
8/16/1997,8/17/1997,2,0,402,157,559
2/20/1997,2/22/1997,3,1458,1947,774,4179
7/17/1996,7/18/1996,2,1032,519,0,1551
11/27/1990,11/28/1990,2,224,86,154,464
8/17/1990,8/18/1990,2,0,0,9.5,9.5
5/9/1990,5/10/1990,2,0,208,289,497
8/3/1989,8/4/1989,2,0,0,52,52
8/25/1987,8/26/1987,2,0,0,18,18
8/13/1987,8/14/1987,2,0,986,971,1957
10/3/1986,10/3/1986,1,0,0,53,53
8/6/1985,8/6/1985,1,0,0,58,58
3/4/1985,3/4/1985,1,0,0,153.3,153.3
,,,,,,
